"REF_DATE","GEO","DGUID","Coal types and uses","Coal volume","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-04","Canada","2016A000011124","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973938","1.4.2","298","","r","","0"
"2008-04","Canada","2016A000011124","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973939","1.5.1","2005","","","","0"
"2008-04","Canada","2016A000011124","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973940","1.6.1","801","","","","0"
"2008-04","Nova Scotia","2016A000212","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973941","2.1.1","","x","","","0"
"2008-04","Nova Scotia","2016A000212","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973942","2.2.1","","x","","","0"
"2008-04","Nova Scotia","2016A000212","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973943","2.3.1","","x","","","0"
"2008-04","Nova Scotia","2016A000212","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973944","2.4.1","","x","","","0"
"2008-04","New Brunswick","2016A000213","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973945","3.1.1","","x","","","0"
"2008-04","New Brunswick","2016A000213","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973946","3.2.1","","x","","","0"
"2008-04","New Brunswick","2016A000213","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973947","3.4.1","","x","","","0"
"2008-04","Saskatchewan","2016A000247","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973948","4.1.1","801","","","","0"
"2008-04","Saskatchewan","2016A000247","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973949","4.6.1","801","","","","0"
"2008-04","Alberta","2016A000248","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973950","5.1.1","2520","","","","0"
"2008-04","Alberta","2016A000248","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973951","5.1.2","480","","","","0"
"2008-04","Alberta","2016A000248","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973952","5.2.1","515","","","","0"
"2008-04","Alberta","2016A000248","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973953","5.2.2","480","","","","0"
"2008-04","Alberta","2016A000248","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973954","5.3.1","250","","","","0"
"2008-04","Alberta","2016A000248","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973955","5.3.2","232","","","","0"
"2008-04","Alberta","2016A000248","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973956","5.4.1","264","","","","0"
"2008-04","Alberta","2016A000248","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973957","5.4.2","248","","","","0"
"2008-04","Alberta","2016A000248","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973958","5.5.1","2005","","","","0"
"2008-04","British Columbia","2016A000259","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973959","6.1.1","2454","","","","0"
"2008-04","British Columbia","2016A000259","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973960","6.1.2","1974","","","","0"
"2008-04","British Columbia","2016A000259","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973961","6.2.1","2454","","","","0"
"2008-04","British Columbia","2016A000259","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973962","6.2.2","1974","","","","0"
"2008-04","British Columbia","2016A000259","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973963","6.3.1","2347","","r","","0"
"2008-04","British Columbia","2016A000259","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973964","6.3.2","1924","","r","","0"
"2008-04","British Columbia","2016A000259","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973965","6.4.1","107","","r","","0"
"2008-04","British Columbia","2016A000259","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973966","6.4.2","50","","r","","0"
"2008-05","Canada","2016A000011124","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973931","1.1.1","5774","","","","0"
"2008-05","Canada","2016A000011124","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973932","1.1.2","3070","","r","","0"
"2008-05","Canada","2016A000011124","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973933","1.2.1","3034","","","","0"
"2008-05","Canada","2016A000011124","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973934","1.2.2","3070","","r","","0"
"2008-05","Canada","2016A000011124","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973935","1.3.1","2638","","r","","0"
"2008-05","Canada","2016A000011124","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973936","1.3.2","2854","","r","","0"
"2008-05","Canada","2016A000011124","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973937","1.4.1","396","","r","","0"
"2008-05","Canada","2016A000011124","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973938","1.4.2","215","","","","0"
"2008-05","Canada","2016A000011124","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973939","1.5.1","1966","","","","0"
"2008-05","Canada","2016A000011124","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973940","1.6.1","774","","","","0"
"2008-05","Nova Scotia","2016A000212","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973941","2.1.1","","x","","","0"
"2008-05","Nova Scotia","2016A000212","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973942","2.2.1","","x","","","0"
"2008-05","Nova Scotia","2016A000212","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973943","2.3.1","","x","","","0"
"2008-05","Nova Scotia","2016A000212","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973944","2.4.1","","x","","","0"
"2008-05","New Brunswick","2016A000213","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973945","3.1.1","","x","","","0"
"2008-05","New Brunswick","2016A000213","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973946","3.2.1","","x","","","0"
"2008-05","New Brunswick","2016A000213","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973947","3.4.1","","x","","","0"
"2008-05","Saskatchewan","2016A000247","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973948","4.1.1","774","","","","0"
"2008-05","Saskatchewan","2016A000247","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973949","4.6.1","774","","","","0"
"2008-05","Alberta","2016A000248","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973950","5.1.1","2447","","","","0"
"2008-05","Alberta","2016A000248","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973951","5.1.2","423","","","","0"
"2008-05","Alberta","2016A000248","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973952","5.2.1","481","","r","","0"
"2008-05","Alberta","2016A000248","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973953","5.2.2","423","","","","0"
"2008-05","Alberta","2016A000248","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973954","5.3.1","202","","","","0"
"2008-05","Alberta","2016A000248","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973955","5.3.2","216","","","","0"
"2008-05","Alberta","2016A000248","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973956","5.4.1","279","","r","","0"
"2008-05","Alberta","2016A000248","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973957","5.4.2","207","","","","0"
"2008-05","Alberta","2016A000248","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973958","5.5.1","1966","","","","0"
"2008-05","British Columbia","2016A000259","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973959","6.1.1","2550","","","","0"
"2008-05","British Columbia","2016A000259","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973960","6.1.2","2646","","r","","0"
"2008-05","British Columbia","2016A000259","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973961","6.2.1","2550","","","","0"
"2008-05","British Columbia","2016A000259","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973962","6.2.2","2646","","r","","0"
"2008-05","British Columbia","2016A000259","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973963","6.3.1","2436","","r","","0"
"2008-05","British Columbia","2016A000259","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973964","6.3.2","2638","","r","","0"
"2008-05","British Columbia","2016A000259","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973965","6.4.1","114","","r","","0"
"2008-05","British Columbia","2016A000259","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973966","6.4.2","8","","","","0"
"2008-06","Canada","2016A000011124","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973931","1.1.1","5353","","r","","0"
"2008-06","Canada","2016A000011124","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973932","1.1.2","2805","","","","0"
"2008-06","Canada","2016A000011124","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973933","1.2.1","2807","","r","","0"
"2008-06","Canada","2016A000011124","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973934","1.2.2","2805","","","","0"
"2008-06","Canada","2016A000011124","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973935","1.3.1","2454","","r","","0"
"2008-06","Canada","2016A000011124","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973936","1.3.2","2550","","","","0"
"2008-06","Canada","2016A000011124","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973937","1.4.1","353","","r","","0"
"2008-06","Canada","2016A000011124","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973938","1.4.2","255","","","","0"
"2008-06","Canada","2016A000011124","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973939","1.5.1","1832","","","","0"
"2008-06","Canada","2016A000011124","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973940","1.6.1","714","","","","0"
"2008-06","Nova Scotia","2016A000212","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973941","2.1.1","","x","","","0"
"2008-06","Nova Scotia","2016A000212","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973942","2.2.1","","x","","","0"
"2008-06","Nova Scotia","2016A000212","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973943","2.3.1","","x","","","0"
"2008-06","Nova Scotia","2016A000212","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973944","2.4.1","","x","","","0"
"2008-06","New Brunswick","2016A000213","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973945","3.1.1","","x","","","0"
"2008-06","New Brunswick","2016A000213","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973946","3.2.1","","x","","","0"
"2008-06","New Brunswick","2016A000213","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973947","3.4.1","","x","","","0"
"2008-06","Saskatchewan","2016A000247","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973948","4.1.1","714","","","","0"
"2008-06","Saskatchewan","2016A000247","Lignite, thermal","Production","Tonnes","288","thousands","3","v43973949","4.6.1","714","","","","0"
"2008-06","Alberta","2016A000248","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973950","5.1.1","2273","","","","0"
"2008-06","Alberta","2016A000248","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973951","5.1.2","377","","","","0"
"2008-06","Alberta","2016A000248","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973952","5.2.1","441","","","","0"
"2008-06","Alberta","2016A000248","Bituminous, all uses","Exports","Tonnes","288","thousands","3","v43973953","5.2.2","377","","","","0"
"2008-06","Alberta","2016A000248","Bituminous, metallurgical","Production","Tonnes","288","thousands","3","v43973954","5.3.1","174","","","","0"
"2008-06","Alberta","2016A000248","Bituminous, metallurgical","Exports","Tonnes","288","thousands","3","v43973955","5.3.2","154","","","","0"
"2008-06","Alberta","2016A000248","Bituminous, thermal","Production","Tonnes","288","thousands","3","v43973956","5.4.1","267","","","","0"
"2008-06","Alberta","2016A000248","Bituminous, thermal","Exports","Tonnes","288","thousands","3","v43973957","5.4.2","223","","","","0"
"2008-06","Alberta","2016A000248","Sub-bituminous, thermal","Production","Tonnes","288","thousands","3","v43973958","5.5.1","1832","","","","0"
"2008-06","British Columbia","2016A000259","Total all coal types and uses","Production","Tonnes","288","thousands","3","v43973959","6.1.1","2358","","r","","0"
"2008-06","British Columbia","2016A000259","Total all coal types and uses","Exports","Tonnes","288","thousands","3","v43973960","6.1.2","2428","","","","0"
"2008-06","British Columbia","2016A000259","Bituminous, all uses","Production","Tonnes","288","thousands","3","v43973961","6.2.1","2358","","r","","0"
